Name,CPU_Usage,Memory_Usage
ibus-x11,0.000000,0.300000
gnome-shell-cal,0.000000,0.300000
gvfsd-burn,0.000000,0.100000
fwupd,0.000000,0.200000
kworker/0:0H,0.000000,0.000000
at-spi-bus-laun,0.000000,0.100000
pickup,0.000000,0.100000
go,0.000000,0.300000
migration/0,0.000000,0.000000
xfs-cil/dm-0,0.000000,0.000000
ibus-daemon,0.000000,0.100000
dockerd,0.100000,1.600000
xfsalloc,0.000000,0.000000
irqbalance,0.000000,0.000000
goa-daemon,0.000000,0.700000
kworker/3:1H,0.000000,0.000000
packagekitd,0.000000,0.200000
gsd-screensaver,0.000000,0.100000
kintegrityd,0.000000,0.000000
edac-poller,0.000000,0.000000
kpsmoused,0.000000,0.000000
scsi_eh_1,0.000000,0.000000
ModemManager,0.000000,0.100000
gvfsd-metadata,0.000000,0.000000
netns,0.000000,0.000000
scsi_tmf_2,0.000000,0.000000
ksmtuned,0.000000,0.000000
gvfs-afc-volume,0.000000,0.100000
gsd-wacom,0.000000,0.300000
gsd-clipboard,0.000000,0.300000
containerd,0.500000,0.800000
deferwq,0.000000,0.000000
xfs-conv/sda1,0.000000,0.000000
sedispatch,0.000000,0.000000
gssproxy,0.000000,0.000000
dconf-service,0.000000,0.100000
kdevtmpfs,0.000000,0.000000
accounts-daemon,0.000000,0.100000
xdg-permission-,0.000000,0.000000
kworker/0:0,0.000000,0.000000
seapplet,0.000000,0.200000
pulseaudio,0.000000,0.100000
docker-proxy,0.000000,0.100000
su,0.000000,0.100000
khungtaskd,0.000000,0.000000
xfs_mru_cache,0.000000,0.000000
xfs-eofblocks/d,0.000000,0.000000
daemon,0.000000,0.000000
gsd-media-keys,0.000000,0.400000
kworker/0:2,0.000000,0.000000
mysqld,2.400000,10.400000
rcu_sched,0.300000,0.000000
migration/1,0.000000,0.000000
migration/3,0.000000,0.000000
watchdogd,0.000000,0.000000
kaluad,0.000000,0.000000
nfit,0.000000,0.000000
wpa_supplicant,0.000000,0.000000
tracker-extract,0.000000,0.300000
ksoftirqd/0,0.000000,0.000000
kworker/3:1,0.000000,0.000000
xfs-buf/sda1,0.000000,0.000000
